Name,Rating,Pricing,Number of Reviews,Location,Category
The Stillery,4.4,2.0,3424,Nashville,New American
Puckett's Restaurant - Nashville,3.9,2.0,3288,Nashville,American
Sixty Vines,4.5,2.0,944,Nashville,New American
etch,4.5,3.0,1699,Nashville,New American
The Twelve Thirty Club,4.3,,788,Nashville,Cocktail Bars
Hattie B’s Hot Chicken - Nashville - Midtown,4.4,2.0,7283,Nashville,Chicken Wings
5th & Taylor,4.4,3.0,1388,Nashville,New American
Bourbon Steak by Michael Mina,4.5,4.0,766,Nashville,Steakhouses
The Hampton Social - Nashville,4.3,2.0,1472,Nashville,New American
Milk and Honey Nashville,4.2,2.0,2718,Nashville,New American
Husk,4.0,3.0,1816,Nashville,Southern
Skull's Rainbow Room,4.5,3.0,1331,Nashville,Cocktail Bars
Rolf and Daughters,4.3,3.0,1017,Nashville,New American
Pinewood Social,4.1,2.0,2214,Nashville,Social Clubs
The Optimist - Nashville,4.5,3.0,389,Nashville,Seafood
Martin's Bar-B-Que Joint,4.1,2.0,3014,Nashville,Barbeque
The Southern Steak & Oyster,4.1,3.0,2544,Nashville,Southern
Acme Feed & Seed,3.9,2.0,1945,Nashville,Bars
Adele's - Nashville,4.0,2.0,1180,Nashville,New American
Peg Leg Porker,4.3,2.0,3490,Nashville,Barbeque
Hawkers Asian Street Food,4.4,2.0,1065,Nashville,Tapas/Small Plates
Jeff Ruby's Steakhouse- Nashville,4.5,4.0,652,Nashville,Seafood
Henrietta Red,4.3,3.0,545,Nashville,New American
Oak Steakhouse,4.4,4.0,431,Nashville,Steakhouses
Stateside Kitchen,4.1,,323,Nashville,New American
Blanco Cocina + Cantina,4.5,2.0,334,Nashville,Cocktail Bars
Kayne Prime,4.2,4.0,1228,Nashville,Steakhouses
The Mockingbird Nashville,4.2,2.0,689,Nashville,New American
The Catbird Seat,4.6,4.0,472,Nashville,New American
The Farm House,4.1,2.0,939,Nashville,Southern
The Chef and I,4.4,4.0,598,Nashville,Tapas Bars
Barcelona Wine Bar,4.5,3.0,752,Nashville,Tapas Bars
The Row,3.9,2.0,1746,Nashville,Southern
Hattie B’s Hot Chicken - Nashville - Lower Broadway,4.4,2.0,814,Nashville,Chicken Shop
Bakersfield Nashville,4.5,2.0,1427,Nashville,Tacos
Germantown Cafe,4.1,2.0,801,Nashville,New American
House of Cards,3.8,4.0,504,Nashville,American
DeSano Pizza Bakery,4.3,2.0,1159,Nashville,Pizza
The Pharmacy,4.1,2.0,3532,Nashville,Burgers
Sambuca,3.8,2.0,802,Nashville,Bars
Biscuit Love: Gulch,4.2,2.0,5006,Nashville,Southern
Bastion,4.5,2.0,252,Nashville,Cocktail Bars
Hand Cut Chophouse,4.0,,105,Nashville,Steakhouses
Eddie V's Prime Seafood,4.5,3.0,332,Nashville,Seafood
Gray & Dudley,4.1,3.0,221,Nashville,New American
Butcher & Bee,4.1,2.0,1110,Nashville,New American
O-Ku,4.4,,391,Nashville,Sushi Bars
Sedona Taphouse,4.4,2.0,468,Nashville,New American
The Standard At The Smith House,4.3,3.0,368,Nashville,American
Deacon's New South,4.1,3.0,343,Nashville,Steakhouses
Milo Cafe,4.7,,29,Portland,Cafes
El Azteca Mexican Restaurant,3.4,1.0,21,Portland,Mexican
Senor Fajitas,4.0,1.0,42,Portland,Mexican
Tacos Mi Jalisco,4.8,,17,Portland,Mexican
Portland Pizza & Pub,4.3,,26,Portland,Pizza
5 Chefs,3.7,2.0,44,Portland,New American
The Barbecue Pit,4.2,1.0,24,Portland,Barbeque
My Time Cafe,3.2,1.0,9,Portland,Cafes
Bento Japanese Express,3.8,1.0,30,Portland,Sushi Bars
Mr Wok,3.2,1.0,32,Portland,Chinese
Colorado Grill,4.1,,45,Portland,Steakhouses
Milli’s Taqueria,5.0,,6,Portland,Mexican
International Tea and Coffee,4.5,,2,Portland,Coffee & Tea
Cousins Maine Lobster - Nashville,3.7,2.0,190,Portland,Food Trucks
Pizza Hut,2.7,1.0,19,Portland,Pizza
Arby's,2.9,1.0,8,Portland,Fast Food
Little Caesars,1.8,1.0,10,Portland,Pizza
Burger King,3.4,1.0,7,Portland,Fast Food
Burger King,3.4,1.0,7,Portland,Burgers
Burger King,3.2,1.0,11,Portland,Fast Food
Burger King,3.2,1.0,11,Portland,Burgers
McDonald's,1.4,1.0,23,Portland,Fast Food
McDonald's,1.4,1.0,23,Portland,Fast Food
McDonald's,1.6,1.0,32,Portland,Fast Food
McDonald's,1.6,1.0,32,Portland,Fast Food
Sol Azteca Franklin,3.9,1.0,39,Portland,Mexican
Neon Kitchen,3.1,,8,Portland,Italian
Delaney's Street Eats,4.5,,2,Portland,Food Trucks
Sonic Drive-In,1.8,1.0,12,Portland,Burgers
Brewster's Bar & Grille,3.0,1.0,23,Portland,New American
Johnson's Crossroads Cafe & Market,4.4,,18,Portland,Restaurants
Sol Azteca,3.8,1.0,17,Portland,Mexican
Franklin Steakhouse,3.7,,24,Portland,Steakhouses
Hardee's,3.2,,5,Portland,Fast Food
Subway,2.2,1.0,5,Portland,Sandwiches
Subway,2.2,1.0,5,Portland,Sandwiches
Subway,5.0,1.0,2,Portland,Sandwiches
Subway,5.0,1.0,2,Portland,Sandwiches
Domino's Pizza,2.3,1.0,11,Portland,Pizza
Waffle House - Franklin,3.6,1.0,20,Portland,Diners
Pupuseria Josellin,5.0,,1,Portland,Mexican
Vansauwa's Tacos,4.8,,5,Portland,Food Trucks
Dairy Queen Grill & Chill,2.2,1.0,5,Portland,Fast Food
Denny's,2.4,1.0,35,Portland,Diners
Papa Johns Pizza,2.2,1.0,6,Portland,Pizza
Cracker Barrel Old Country Store,2.8,2.0,54,Portland,Breakfast & Brunch
Jims Barbeque,5.0,,1,Portland,Barbeque
Quiznos,1.2,,6,Portland,Sandwiches
Cantrell’s Grill,1.0,,1,Portland,Food Trucks
GRAY'S On Main,3.7,2.0,683,Franklin,Bars
Red Pony,4.4,3.0,551,Franklin,American
Cork & Cow,4.3,3.0,323,Franklin,Steakhouses
Puckett's Grocery & Restaurant,4.2,2.0,1119,Franklin,Barbeque
O' Be Joyful,4.1,2.0,119,Franklin,Burgers
55 South - Franklin,4.2,2.0,760,Franklin,Southern
Culaccino,4.2,3.0,272,Franklin,Italian
McCreary's Irish Pub and Eatery,3.9,2.0,200,Franklin,Irish Pub
Serrato's Steakhouse,4.6,2.0,189,Franklin,Steakhouses
Pueblo Real Mexican Restaurant - Franklin,4.3,2.0,367,Franklin,Bars
Mellow Mushroom Franklin,3.5,2.0,359,Franklin,Pizza
JJ's Wine Bar,4.0,2.0,154,Franklin,Wine Bars
BrickTop's,4.0,2.0,327,Franklin,New American
Frothy Monkey,4.0,2.0,552,Franklin,Coffee & Tea
Ruby Sunshine,4.0,2.0,534,Franklin,Breakfast & Brunch
Biscuit Love - Franklin,4.0,2.0,574,Franklin,Breakfast & Brunch
Chrysalis,4.5,2.0,367,Franklin,Italian
Mojo's Tacos,4.1,2.0,383,Franklin,Tacos
Merridee's Breadbasket,4.1,2.0,432,Franklin,Bakeries
1799 Kitchen & Cocktails,3.7,,80,Franklin,New American
Franklin Chop House,3.9,2.0,182,Franklin,New American
Ground Restaurant,4.3,2.0,157,Franklin,Burgers
Hop House Tennessee Taps,4.5,,63,Franklin,Beer Bar
Brixx Wood Fired Pizza + Craft Bar,4.0,2.0,271,Franklin,Pizza
Pasta and Cream,4.6,2.0,378,Franklin,Italian
Quinn's Neighbourhood Pub and Eatery,4.0,2.0,271,Franklin,Pizza
The White Alligator,4.5,,40,Franklin,Seafood
North Italia- Franklin,4.1,2.0,241,Franklin,Italian
Tupelo Honey Southern Kitchen & Bar,4.0,2.0,1246,Franklin,Southern
Sperry's Restaurant,4.1,3.0,406,Franklin,Steakhouses
J. Alexander's,4.0,2.0,400,Franklin,New American
Franklin Mercantile Deli,3.7,1.0,148,Franklin,Delis
The Coffee House at Second and Bridge,4.2,2.0,207,Franklin,Coffee & Tea
Zolo's Italian Restaurant,3.3,2.0,155,Franklin,Italian
Hogwood BBQ,4.3,2.0,455,Franklin,Barbeque
Koi Sushi & Thai,4.0,2.0,219,Franklin,Asian Fusion
Mi Kitchen,4.8,,137,Franklin,Tapas Bars
Big Shake's Hot Chicken & Fish,4.0,2.0,502,Franklin,Chicken Shop
Sakura Japanese Restaurant,3.9,2.0,87,Franklin,Japanese
Pita Way - Cool Springs,4.8,2.0,119,Franklin,Mediterranean
Ground Restaurant - Cool Springs,4.4,2.0,487,Franklin,American
Stoney River,4.0,3.0,346,Franklin,Steakhouses
Sal's Family Pizza,3.8,2.0,212,Franklin,Pizza
Hattie B's Hot Chicken - Franklin,4.4,2.0,30,Franklin,Chicken Shop
Bestia Mare,3.9,,33,Franklin,Italian
Wild Ginger Restaurant,4.1,2.0,544,Franklin,Asian Fusion
Coal Town Public House,4.0,2.0,65,Franklin,New American
Ice Point Cafe,4.6,2.0,137,Franklin,Bubble Tea
House of India,4.6,2.0,637,Franklin,Indian
Franklin Bakehouse,4.2,2.0,81,Franklin,Bakeries
